azithromycin,ototoxicity
infliximab,syringotropic hypersensitivity reaction
leflunomide,syringotropic hypersensitivity reaction
lenalidomide,severe aplastic anemia
lenalidomide,aplastic anemia
lenalidomide,AA
amantadine,edema
Amantadine,reversible corneal edema
amantadine,Corneal edema
amantadine,Corneal endothelial dysfunction
amantadine,bilateral corneal endothelial dysfunction
amantadine,bilateral corneal edema
amantadine,cornea
sunitinib,acute interstitial nephritis
haloperidol,Extrapyramidal symptoms
haloperidol,dysphagia
methotrexate,iron deficiency anemia
Methotrexate,sprue-like syndrome
imatinib,tumor lysis syndrome
IFNalpha,Graves' disease
IFN-alpha,Graves' disease
IFN-alpha,subacute thyroiditis
darifenacin,Interstitial granulomatous dermatitis
Gemcitabine,hemolytic uremic syndrome
chlorambucil,Drug rash with eosinophilia and systemic symptoms
chlorambucil,acute renal failure
chlorambucil,fever
chlorambucil,hypereosinophilia
chlorambucil,skin rash
chlorambucil,DRESS syndrome
methotrexate,elevation of aspartate aminotrasferase
MTX,elevation of aspartate aminotrasferase
methotrexate,renal toxicity
MTX,renal toxicity
ethambutol,bitemporal visual field defects
ethambutol,mfERG abnormalities
ethambutol,decreased visual acuity
Tenofovir,nephrotoxicity
TDF,irreversible renal failure
TDF,rickets
TDF,nephrotoxicity
piroxicam,ulcers
immunoglobulin,Acute renal failure
IVIG,acute renal failure
temsirolimus,proteinuria
Temsirolimus,glomerulopathy
etanercept,Hypoglycemia
insulin,hypoglycemia
meglitinides,hypoglycemia
sulfonylureas,hypoglycemia
etanercept,Persistent hypoglycemia
dexmedetomidine,bradycardia
glycopyrrolate,exaggerated increase of arterial blood pressure
Bisphosphonate,osteonecrosis of the jaw
Bisphosphonate,osteonecrosis of the skull base
quinine,TTP/HUS
quinine,thrombotic microangiopathy
quinine,TMA
quinine,schistocytosis
epirubicin,primary and secondary perforation of the bladder
Aliskiren,acute renal failure
aliskiren,hyperkalemia
methylphenidate,acute cardiomyopathy
methylphenidate,pericarditis
methylphenidate,acute left ventricular dysfunction
methylphenidate,chest pain
methylphenidate,elevated cardiac biomarkers
enoxaparin,hepatotoxicity
methotrexate,Posterior reversible encephalopathy syndrome
methotrexate,acute lymphoblastic leukemia
Cyclosporine,pain syndrome
cyclosporine,CIPS
calcineurin,pain syndrome
cyclosporine,leg pain
risperidone,Neuroleptic malignant syndrome
Efalizumab,tuberculosis
Etanercept,tuberculosis
stavudine,symptomatic hyperlactatemia
zidovudine,symptomatic hyperlactatemia
zidovudine,hyperlactatemia relapse
stavudine,hyperlactatemia
bacitracin,Anaphylactic reaction
octreotide,prolonged hypoglycemia
somatostatin,Hypoglycemia
octreotide,serious hypoglycemia
azathioprine,Leukopenia
AZA,leukopenia
Isoniazid,breast tissue enlargement
alemtuzumab,Cryptococcus neoformans fatal sepsis
alemtuzumab,fungal infections
alemtuzumab,opportunistic infections
etoposide,acute myeloid leukemia
etoposide,sAML
etoposide,secondary acute myeloid leukemia
tranexamic acid,Polymyoclonus seizure
clarithromycin,Rhabdomyolysis
sunitinib,development of abnormally large mammary glands
sunitinib,pain
sunitinib,peri-areolar erythema
sunitinib,bilateral breast enlargement
sunitinib,gynaecomastia
sunitinib,elevated lipase
sunitinib,fatigue
sunitinib,hand-foot syndrome
sunitinib,hypertension
sunitinib,lymphopenia
Divalproex sodium,eosinophilic pleural effusion
Depakote,dyspnea
divalproex sodium,dyspnea
Depakote,effusion
Flurbiprofen,acute tubulointerstitial nephritis
valproate,Stupor
sorafenib,Localized dyskeratotic plaque
sorafenib,milia
sorafenib,atypical localized cutaneous eruption
tigecycline,acute pancreatitis
tigecycline,elevated pancreatic enzymes
tigecycline,severe abdominal pain
tigecycline,abdominal pain
tigecycline,pancreatitis
leuprolide acetate,polymyositis
Lupron,polymyositis
leuprolide acetate,myositis
Aripiprazole,hiccups
sertraline,rhabdomyolysis
cisplatin,Tumor lysis syndrome
olanzapine,priapism
ketamine,damage to the urinary tract
ketamine,damage to the urothelium
ketamine,urological symptoms
lopinavir,arrhythmias
ritonavir,arrhythmias
lopinavir,Transient cardiac arrhythmias
ritonavir,Transient cardiac arrhythmias
infliximab,Colitis
infliximab,disseminated cryptococcosis
carbamazepine,aggressive behavior
carbamazepine,severe agitation
Carbamazepine,hyperammonemia
valproic acid,elevated serum ammonia levels
cis-platinum,nephrotoxicity
cisplatinum,nephrotoxicity
adalimumab,jaundice
adalimumab,severe dyspnea
adalimumab,tachypnea
adalimumab,acute respiratory failure
adalimumab,Acute bilateral phrenic neuropathy
TMP-Sx,SJS
TMP-Sx,TEN
trimethoprim-sulfamethoxazole,SJS
TMP-Sx,Stevens-Johnson syndrome
trimethoprim-sulfamethoxazole,Stevens-Johnson syndrome
trimethoprim-sulfamethoxazole,TEN
TMP-Sx,toxic epidermal necrolysis
trimethoprim-sulfamethoxazole,toxic epidermal necrolysis
LMWH,Spontaneous hemothorax
dalteparin,acute respiratory distress
heparin,Spontaneous hemothorax
bevacizumab,Acute ocular ischemic change
avastin,Acute vision loss
bevacizumab,Acute vision loss
avastin,ocular ischemic syndrome
bevacizumab,ocular ischemic syndrome
bevacizumab,acute retinal ischemic change
bevacizumab,stroke
bevacizumab,carotid insufficiency
bevacizumab,coagulopathy
bevacizumab,poorly controlled diabetes mellitus
bevacizumab,acute ocular ischemic syndrome
bevacizumab,change of consciousness
cyclophosphamide,pancytopenia
doxorubicin,pancytopenia
etoposide,pancytopenia
prednisone,pancytopenia
rituximab,pancytopenia
vincristine,pancytopenia
adefovir,hepatitis B infection
lamivudine,hepatitis B infection
Linezolid,acute interstitial nephritis
Linezolid,DRESS
Linezolid,drug rash with eosinophilia and systemic symptoms
linezolid,eosinophilia
linezolid,facial edema
linezolid,macular rash
linezolid,marked increase in serum creatinine level
linezolid,mild hepatitis
linezolid,severe pruritus
MTX,LPD
methotrexate,lymphoproliferative disorder
MTX,Epstein-Barr virus-associated polymorphic lymphoproliferative disorder
MTX,immunodeficiency
MTX,gastric LPD
sorafenib,acute renal failure
sorafenib,hyperkalemia
sorafenib,hyperuricemia
Sorafenib,tumor lysis syndrome
oxymetazoline,syncope
oxymetalzoline,neurological depression
nitrofurantoin,toxic liver damage
Nitrofurantoin,acute liver damage
natalizumab,PCNSL
natalizumab,primary central nervous system lymphoma
lamotrigine,severe apnea
lamotrigine,apnea
dasatinib,pleural effusion
Dasatinib,pleural effusions
carboplatin,platinum hypersensitivity
adalimumab,fulminant cardiomyopathy
adalimumab,Severe cardiomyopathy
Amikacin,severe hypocalcemia
Amikacin,type 5 Bartter-like syndrome
Amikacin,tubular dysfunction
Amikacin,hypocalcemia
Amikacin,hypomagnesemia
Amikacin,metabolic alkalosis
Amikacin,polyuria
Amikacin,refractory hypokalemia
Amikacin,severe renal tubular dysfunction
thrombin,multiple infarcts
thrombin,slow to awaken
thrombin,vasospasm
Thrombin,cerebral infarctions
Ciprofloxacin,hemorrhagic vasculitis
ciprofloxacin,below-knee amputation
ciprofloxacin,progressive gangrene
ciprofloxacin,severe forefoot infection
ciprofloxacin,vasculitis
sorafenib,interstitial pneumonia
sorafenib,severe interstitial pneumonia
sorafenib,interstitial lung disease
gemcitabine,pulmonary toxicity
licorice,hypokalemia
garenoxacin,cardiac rhythms
garenoxacin,hypokalemia
disopyramide,Torsades de Pointes
garenoxacin,Torsades de Pointes
garenoxacin,TdP
garenoxacin,ventricular tachycardia
8MOP,acute dermatitis
methylprednisolone,Hepatotoxicity
calcium polystryrene sulfonate,Colonic mucosal necrosis
Kalimate,Colonic mucosal necrosis
Kayexalate,Colonic necrosis
sodium polystryrene sulfonate,Colonic necrosis
Kalimate,colonic mucosal necrosis in the rectum
Kalimate,profuse hematochezia
Kayexalate,colonic mucosal necrosis
Clozapine,tardive dyskinesia
clozapine,discomfort
clozapine,TD
Clozapine,extrapyramidal symptoms
All-trans retinoic acid,focal myositis
All-trans retinoic acid,mononeuritis
All-trans retinoic acid,synovitis
all-trans retinoic acid,acute focal myositis
all-trans retinoic acid,possible vasculitis
pegylated interferon,retinopathy
ribavirin,retinopathy
pegylated interferon,irreversible decrease of visual acuity
pegylated interferon,ocular complications
carboplatin,severe hypersensitivity
sulfamethoxazole,Aseptic meningitis
trimethoprim,Aseptic meningitis
sulfamethoxazole,hemolytic anemia
trimethoprim,hemolytic anemia
sulfamethoxazole,hepatitis
trimethoprim,hepatitis
sulfamethoxazole,orthostatic hypotension
trimethoprim,orthostatic hypotension
sulfamethoxazole,difficulty with speech
trimethoprim,difficulty with speech
sulfamethoxazole,dizziness
trimethoprim,dizziness
sulfamethoxazole,headaches
trimethoprim,headaches
sulfamethoxazole,itching on the trunk
trimethoprim,itching on the trunk
sulfamethoxazole,maculopapular rash
trimethoprim,maculopapular rash
sulfamethoxazole,weakness
trimethoprim,weakness
ritodrine,acute chest pain
ritodrine,type I second-degree AV block
ritodrine,Mobitz type I
ritodrine,Wenckebach AV block
anthracycline,early chronic cardiomyopathy
all-trans retinoic acid,symptomatic cardiomyopathy
ATRA,symptomatic cardiomyopathy
daunomycin,symptomatic cardiomyopathy
imatinib,KS
rituximab,Kaposi's sarcoma
rituximab,KS
imatinib mesylate,Kaposi's sarcoma
imatinib,cutaneous KS lesions
cytosine arabinoside,Bulbar
cytosine arabinoside,pseudobulbar palsy
Interferon,neuropsychiatric symptoms
Interferon,psychosis
interferon,hallucinations
ribavirin,hallucinations
Zidovudine,anaemia
Zidovudine,bone marrow aplasia
Zidovudine,pure red cell aplasia
hydroxychloroquine,objective visual field loss
hydroxychloroquine,visual field loss
hydroxychloroquine,retinal toxicity
trazodone,hypomanic symptoms
Trazodone,transient hypomanic symptoms
etanercept,severe heart failure
etanercept,Reversible heart failure
methylephedrine,stroke
morphine,chronic nausea
morphine,confusion
lacosamide,ataxia
lacosamide,diplopia
lacosamide,dizziness
lacosamide,somnolence
methotrexate,aseptic pleuropericarditis
Methotrexate,serositis
methotrexate,pleuropericarditis
itraconazole,tremor
zonisamide,Acute kidney injury
zonisamide,hypersensitivity syndrome
zonisamide,Hypersensitivity
zonisamide,an increase in antihuman herpesvirus-6 immunoglobulin G titer
zonisamide,eosinophilia
zonisamide,high-grade fever
zonisamide,liver dysfunction
zonisamide,lymphadenopathy
zonisamide,skin rash
zonisamide,DIHS
zonisamide,DRESS
bisabolol,allergic contact dermatitis
immunoglobulin,azotemia
IVIG,azotemia
immunoglobulin,hyperkalemia
IVIG,hyperkalemia
immunoglobulin,nausea
IVIG,nausea
immunoglobulin,shortness of breath
IVIG,shortness of breath
lithium,cardiac toxicity
lithium,loss of intracellular potassium
vancomycin,anaphylactic reaction
Vancomycin,anaphylactoid
Vancomycin,anaphylaxis
Vancomycin,blood disorders
Vancomycin,gastrointestinal disturbances
Vancomycin,hypersensitivity reactions
Vancomycin,nephrotoxicity
Vancomycin,ototoxicity
Vancomycin,red man syndrome
hexoprenaline,pulmonary oedema
erlotinib,Fatal interstitial lung disease
epinephrine,coronary artery vasospasm
epinephrine,transient intraoperative hypertension
Cisplatin,syndrome of inappropriate antidiuretic hormone
enoxaparin,thrombocytosis
adalimumab,extreme hyperferritinemia
adalimumab,fever
adalimumab,pancytopenia
adalimumab,splenomegaly
adalimumab,macrophagic activation syndrome
adalimumab,Visceral leishmaniasis
prochlorperazine,epiglottitis
prochlorperazine,oro-pharyngeal dystonic reaction
hydroxychloroquine,retinopathy
TMP-SMX,acute liver toxicity
TMP-SMX,liver toxicity
TMP-SMX,cutaneous skin eruptions
TMP-SMX,hepatotoxicity
TMP-SMX,immunemediated hypersensitivity reaction
Trimethoprim-sulfamethoxazole,hepatotoxicity
TMP-SMX,soft tissue infection
Amiodarone,thyrotoxicosis
amiodarone,Goiter
sirolimus,Aphthous stomatitis
sirolimus,worsening of chronic aphthous ulcers
tacrolimus,worsening of chronic aphthous ulcers
calcineurin,Severe aphthous stomatitis
MP,transient renal failure
azathioprine,severe cholestasis
azathioprine,cholestasis
azathioprine,bile duct injury
calcium hopantenate,acute encephalopathy
HOPA,acute encephalopathy
quinine,Persistent light reactivity
quinine,photosensitivity
doxorubicin,hematologic malignancy
etoglucid,hematologic malignancy
mitomycin C,hematologic malignancy
cyclophosphamide,circumferential subglottic stenosis
cyclophosphamide,Subglottic stenosis
tPA,severe splenic hemorrhage and rupture
tissue plasminogen activator,Splenic hemorrhage
tissue plasminogen activator,gastrointestinal or intracranial bleeding
tPA,gastrointestinal or intracranial bleeding
cyproterone acetate,severe acute hepatitis
cyproterone acetate,abnormal liver function tests
cyproterone acetate,Severe hepatitis
iothalamate,fixed drug eruption
griseofulvin,erythema multiforme
Aminoglutethimide,rash
aminoglutethimide,skin toxicity
tamoxifen,carcinoma of the corpus uteri
Disulfiram,hepatitis
disulfiram,eosinophilia
disulfiram,headache
disulfiram,mild fever
disulfiram,nausea
disulfiram,rash
disulfiram,vomiting
methotrexate,leukoencephalopathy
alum,aluminum toxicity
aluminum,cardiomyopathy
aluminum,encephalopathy
bleomycin,hemolytic-uremic syndrome
cisplatin,hemolytic-uremic syndrome
methotrexate,hemolytic-uremic syndrome
lidocaine,psychiatric symptoms
Nitrendipine,gingival hyperplasia
sulfonamide,injury to the urinary tract
Sulfadiazine,crystalluria
sulfadiazine,renal failure
5-fluorouracil,Glaucoma
sucralfate,hypophosphatemic osteomalacia
gentamicin,hypersensitivity reaction
penicillin G,hypersensitivity reaction
azathioprine,brain damage
prednisolone,brain damage
azathioprine,Prenatal cytomegalovirus (CMV) infection
prednisolone,Prenatal cytomegalovirus (CMV) infection
cisplatin,Acute coronary events
cis-diamine-dichloroplatinum II,acute coronary ischemia
cisplatin,acute coronary ischemia
cis-diamine-dichloroplatinum II,infarction
cisplatin,infarction
chromic phosphate,Bowel perforation
chromic phosphate,bowel injury
chromic phosphate,colon perforation
MTX,death
Ara-C,loss of consciousness
MTX,loss of consciousness
Ara-C,progressive visual loss
MTX,progressive visual loss
pyridostigmine bromide,bromide intoxication
pyridostigmine bromide,postoperative psychosis
Diazepam,withdrawal symptoms
nimodipine,ileus
nimodipine,adynamic ileus
nimodipine,pseudo-obstruction of the colon
danazol,diabetes
danazol,Insulin-dependent diabetes mellitus
glipizide,symptomatic hypoglycemia
SMX,symptomatic hypoglycemia
sulfamethoxazole,symptomatic hypoglycemia
TMP,symptomatic hypoglycemia
trimethoprim,symptomatic hypoglycemia
ifosfamide,anuria
ifosfamide,irreversible lethal renal failure
Ifosfamide,tubulopathies
ifosfamide,Lethal anuria
Ciprofloxacin,interstitial nephritis
ciprofloxacin,Renal toxicities
doxorubicin,acute encephalopathy
doxorubicin,high-pressure hydrocephalus
doxorubicin,Severe acute encephalopathy
Phenobarbital,hepatotoxicity
phenobarbital,Severe hepatotoxicity
phenobarbital,hepatocellular failure
phenobarbital,Skin rash
Atenolol,pseudolymphoma
sulpiride,tardive dyskinesia
methotrexate,ascites
MTX,ascites
methotrexate,bridging fibrosis
methotrexate,Hepatitis
methotrexate,reversible hepatic insufficiency
MTX,hepatic decompensation
methotrexate,fatal rise in intracranial pressure
methotrexate,brainstem herniation
methotrexate,fatal cerebral edema
methotrexate,intracranial mass lesion
methotrexate,Transtentorial herniation
acyclovir,Fever
acyclovir,pleural effusion
acyclovir,pulmonary infiltrates
acyclovir,hemoptysis
acyclovir,pleural friction rub
Quinine,hearing loss
quinine,Sensorineural hearing loss
quinine,reversible hearing loss
quinine,ototoxicity
bleomycin,Hemolytic uremic syndrome
cis-platinum,Hemolytic uremic syndrome
vinblastine,Hemolytic uremic syndrome
bleomycin,acute pneumonitis
oxygen,acute pneumonitis
bleomycin,pulmonary damage
oxygen,pulmonary damage
Bleomycin,pneumonitis
bleomycin,pulmonary toxicity
Oxygen,pulmonary toxicity
procainamide,incessant orthodromic atrioventricular tachycardia
procainamide,tachycardia
Procainamide,incessant supraventricular tachycardia
procainamide,pro-arrhythmic effects
phosphate diethylstilbestrol,Multicentric hepatocellular carcinoma
DES,hepatocellular carcinoma
diethylstilbestrol,hepatocellular carcinoma
PDES,multiple nodules in the liver
phosphate diethylstilbestrol,multiple nodules in the liver
amiodarone,cerebellar syndrome
amiodarone,symmetric sensorimotor polyneuropathy
amiodarone,Peripheral neuropathy
vinblastine,hyponatremia
vinblastine,hyponatremic episode
dextran-40,acute renal failure
dextran-40,Renal failure
dextran,renal failure
methotrexate,CNS abnormalities
bromocriptine,morphea
dapsone,erythroderma
fluoxetine,Akathisia
fluoxetine,constant pacing
fluoxetine,marked anxiety
fluoxetine,purposeless movements of the feet and legs
fluoxetine,restlessness
cytosine arabinoside,demyelinating peripheral neuropathy
cytosine arabinoside,Horner's syndrome
cytosine arabinoside,Peripheral nerve dysfunction
cytosine arabinoside,Peripheral nervous system disturbances
cytosine arabinoside,death
cytosine arabinoside,severe demyelinating peripheral neuropathy
penicillamine,Nail-changes
Ibuprofen,meningitis
Metoclopramide,parkinsonism
ergotamine,arterial spasm
ergotamine,fatal stroke
cyclophosphamide,acute hyponatraemia
indomethacin,acute hyponatraemia
cyclophosphamide,life-threatening water intoxication
indomethacin,life-threatening water intoxication
Clofazimine,nail changes
clofazimine,discoloration of nail plate
clofazimine,onycholysis
clofazimine,subungual hyperkeratosis
asparaginase,hyperglycemia
captopril,persistent late onset asthma
captopril,asthma
bleomycin,TMA
cisplatin,TMA
busulphan,ascites
busulphan,jaundice
busulphan,oesophageal varices
busulphan,portal hypertension
amiodarone,torsades de pointe
morphine-6-glucuronide,respiratory depression
morphine,respiratory depression
Rifampin,thrombocytopenia
Rifampin,acute renal failure
Rifampin,hemolytic anemia
Rifampin,hepatitis
haloperidol,WES
haloperidol,Withdrawal emergent syndrome
5-fluorouracil,acute myelocytic leukemia
cyclophosphamide,acute myelocytic leukemia
methotrexate,acute myelocytic leukemia
Ibuprofen,gastrointestinal adverse reactions
ibuprofen,Ulcerative proctitis
cytarabine,central nervous system toxicity
methotrexate,central nervous system toxicity
ara = C,leukoencephalopathy
chlorambucil,Acute myelogenous leukemia
chlorambucil,AML
mianserin,Panic anxiety
trihexyphenidyl,acute respiratory difficulties
trihexyphenidyl,cranial dystonia
trihexyphenidyl,inspiratory stridor
Ara-C,paresthesias
cytosine arabinoside,Paraplegia
Ara-C,Paraplegia
"o,p'-DDD",hypoadrenalism
Alprazolam,mania
alprazolam,manic episodes
alprazolam,delirious
Alprazolam,delirium
Sulfasalazine,bronchopulmonary complications of inflammatory bowel disease
Sulfasalazine,IBD
amantadine,psychotic decompensations
amantadine,precipitating psychosis
amantadine,schizophrenia
chlorpromazine,symptoms resembling Parkinson's disease
sulfasalazine,lupus
sulfasalazine,pulmonary parenchymal involvement
sulfasalazine,serositis
sulfasalazine,lupus syndrome
sulfasalazine,bilateral pleural effusions
sulfasalazine,cardiac tamponade
sulfasalazine,Pneumonitis
sulfasalazine,positive autoantibodies
Sulfasalazine,lupus erythematosus
L-thyroxine,Acute myocardial infarction
L-thyroxine,coronary spasm
L-thyroxine,myocardial infarction
L-T4,leukopenia
L-Thyroxine,leukopenia
Ampicillin,generalised exfoliative dermatitis
Ampicillin,interstitial nephritis
ampicillin,acute interstitial nephritis
ampicillin,exfoliative dermatitis
ampicillin,renal failure
ampicillin,eosinophilia
ampicillin,skin rash
vancomycin,erythema of the cartilage of both ears
vancomycin,hemorrhagic lesions of the finger tips
vancomycin,lupus-like syndrome
vancomycin,malar rash
vancomycin,pain
vancomycin,tender erythematous
vancomycin,vasculitis
isotretinoin,Abnormal retinal function
isotretinoin,excessive glare sensitivity
isotretinoin,poor night vision
FUdR,Neurologic toxicity
Ethambutol,optic neuropathies
ethambutol,toxic optic neuropathies
nifedipine,dysphagia for solids
nifedipine,Gastro-oesophageal reflux
Decadron,bilateral posterior subcapsular cataracts
cisplatin,nausea
Decadron,visual impairment
Decadron,Cataracts
cisplatin,vomiting
phenytoin,IgA deficiency
phenytoin,IgE increase
chloral hydrate,cardiac arrhythmias
Adrenaline,dacryolith
valproic acid,hyperammonemia
valproic acid,dementia
Co-trimoxazole,red cell aplasia
isoniazid,optic neuropathy
isoniazid,ocular toxicity
Depo-Medrol,spastic paraparesis at the lower limbs
Depo-Medrol,Calcification
Depo-Medrol,ossification of the spinal arachnoid
adriamycin,tonic-clonic seizures
cisplatin,tonic-clonic seizures
adrenocorticotropic hormone,Hyperkalemia
ACTH,hyperkalemia
folinic acid,acute renal impairment
methotrexate,acute renal impairment
folinic acid,hyperkalaemia
methotrexate,hyperkalaemia
folinic acid,hyperphosphataemia
methotrexate,hyperphosphataemia
folinic acid,hyper-uricaemia
methotrexate,hyper-uricaemia
folinic acid,hypocalcaemia
methotrexate,hypocalcaemia
folinic acid,metabolic acidosis
methotrexate,metabolic acidosis
folinic acid,phosphate shower syndrome
methotrexate,phosphate shower syndrome
folinic acid,tetany
methotrexate,tetany
valproate,camptocormia
valproate,abnormal posture of extreme forward flexion
sodium valproate,Camptocormia
carbamazepine,hepatopathy
lynestrenol,hepatopathy
sodium valproate,hepatopathy
lorazepam,seizures
lorazepam,Paradoxical precipitation of tonic seizures
methylprednisolone,Atrial fibrillation
Isotretinoin,teratogenic effects
Isotretinoin,teratogenicity
isotretinoin,abnormalities of the corticospinal tracts
isotretinoin,agenesis of the cerebellar vermis
isotretinoin,hydrocephalus
isotretinoin,multiple leptomeningeal neuroglial heterotopias
allopurinol,hypersensitivity
allopurinol,hypersensitivity syndrome
prostaglandin-E2,Bone formation
vincristine,severe visual loss
vincristine,optic nerve toxicity
vincristine,Visual loss
Niacin,reversible toxic cystoid maculopathy
Niacin,maculopathy
niacin,visual symptoms
niacin,cystoid maculopathy
dapsone,fever
dapsone,headache
dapsone,hemolysis
dapsone,hepatitis
dapsone,leukopenia
dapsone,lymphadenopathy
dapsone,mononucleosis
dapsone,nausea
dapsone,vomiting
Rifampicin,adrenal insufficiency
rifampicin,adrenal failure
diltiazem,cutaneous vasculitis
nafcillin,seizures
streptokinase,ischaemic cerebrovascular accident
streptokinase,Thrombo-embolic complication
doxycycline,Renal hypophosphatemia
human growth hormone,Creutzfeldt-Jakob disease
choline magnesium trisalicylate,hepatotoxicity
salicylate,hepatotoxicity
captopril,attacks of asthma
dyazide,attacks of asthma
nadolol,attacks of asthma
timolol,ocular pemphigoid
carbamazepine,Deposits of plasma proteins in the skin
diphenylhydantoin,Deposits of plasma proteins in the skin
desipramine,pain
desipramine,testicular swelling
Benzocaine,methemoglobinemia
methotrexate,erosion of a psoriatic plaque
methotrexate,Erosion of psoriatic plaques
cyclosporine A,effective renal plasma flow
cyclosporine A,loss of glomerular filtration rate
cyclosporine A,fall of the filtration fraction
cyclosporine A,increase in proteinuria
cyclosporine A,nephrotoxicity
cyclosporine A,rise in the relative clearance of 99Tc-dimercaptosuccinic acid
propylthiouracil,hyperthyroidism
propylthiouracil,raised creatine phosphokinase
propylthiouracil,severe proximal muscle weakness
propylthiouracil,Polymyositis
phenytoin,Cardiopulmonary arrest
calcium hopantenate,pantothenic acid deficiency
calcium hopantenate,Reye-like syndrome
calcium hopantenate,fatal acute encephalopathy
morphine sulfate,Dyspnea
desipramine,Anhedonic ejaculation
desipramine,ejaculation without orgasm
morphine,Myoclonic spasms
halothane,hepatitis
cyclophosphamide,porphyria cutanea tarda
cisplatin,porphyria cutanea tarda
iodine,Acute renal failure
povidone,Acute renal failure
PI,acute oliguric renal failure
D-penicillamine,epithelial crescents
D-penicillamine,hemoptysis
D-penicillamine,rapidly progressive glomerulonephritis
D-penicillamine,crescentic glomerulonephritis
Gold,pneumonitis
gold,bilateral interstitial pulmonary abnormalities
Gold,aplastic anemia
6-mercaptopurine,myelotoxicity
HDARAC,cerebellar toxicity
Cytarabine,cerebellar syndrome
HDARAC,ataxia
HDARAC,dysarthria
HDARAC,neurotoxicity
gentamicin,Macular infarction
gentamicin,macular lesion
razoxane,B-cell lymphoma
gold,hypogammaglobulinemia
sodium nitroprusside,leucopenia
sodium nitroprusside,thrombocytopenia
cyclosporine A,Herpes simplex esophagitis
Cyclosporine A,herpes esophagitis
insulin,rebound hyperglycemia
insulin,Posthypoglycemic hyperglycemia
insulin,hyperglycemia
protamine hagedorn,Rebound hyperglycemia
protamine zinc iletin,Rebound hyperglycemia
Captopril,lichen planus pemphigoides
captopril,bullous lichenoid eruption
BCG,osteomyelitis in the left calcaneus
BCG,Metastatic osteomyelitis
minoxidil,arteriosclerotic disease
minoxidil,hypertension
minoxidil,myocardial infarction
Amoxapine,cognitive impairment
amoxapine,cognitive impairments
ibuprofen,severe hypersensitivity reaction
ibuprofen,Severe systemic hypersensitivity reaction
chloramphenicol,hypersensitivity
chloramphenicol,Hypersensitivity reaction
chloramphenicol,Hypersensitivity reactions
chloramphenicol sodium succinate,hypersensitivity reaction
penicillamine,brain lesions
penicillamine,neurologic disease
penicillamine,neurologic worsening
D-penicillamine,neurologic deterioration
penicillamine,Worsening of neurologic syndrome
cyclophosphamide,upper tract neoplasms
cyclophosphamide,Upper tract urothelial malignancy
cyclophosphamide,distal ureter without transitional cell carcinoma of the bladder
cyclophosphamide,transitional cell carcinoma of the renal pelvis
cyclophosphamide,Progressive pulmonary fibrosis
cyclophosphamide,severe restrictive ventilatory defect
amiodarone,Torsade de pointes
ritodrine,Pulmonary edema
terbutaline,Pulmonary edema
Cyclosporin,abnormalities in liver function tests
Cyclosporin,hirsutism
Cyclosporin,hypertension
Cyclosporin,increased blood levels of urea and creatinine
nifedipine,Rupture of a cerebral aneurysm
nifedipine,rupture of a cerebral arterial aneurysm
prazosin,severe drop in blood pressure
Prazosin,hemorrhagic stroke
streptokinase,fatal massive pulmonary embolus
streptokinase,Massive pulmonary embolism
digoxin,Fatal digoxin poisoning
phenytoin,hepatitis
phenytoin,hypersensitivity reactions
phenytoin,mononucleosis
phenytoin,pruritus
phenytoin,swelling of the face and legs
phenytoin,"dermatologic, lymphoid, or hepatic syndromes"
phenytoin sodium,leukopenia
phenytoin,lymphadenopathy
phenytoin,rash
nicotinic acid,fulminant hepatic failure
nicotinic acid,hepatotoxicity
nicotinic acid,liver disease
methimazole,athelia
propranolol,athelia
methimazole,choanal atresia
propranolol,choanal atresia
methimazole,mental retardation
propranolol,mental retardation
methimazole,teratogenicity
5-fluorocytosine,Toxic epidermal necrolysis
amphotericin B,Toxic epidermal necrolysis
cyclophosphamide,abdominal right lower quadrant pain
cyclophosphamide,cecal lymphoma
amiodarone,fall in prothrombin time
amiodarone,jaundice
amiodarone,marked increase in serum transaminase levels
amiodarone,severe centrilobular necrosis
amiodarone,acute hepatitis
timolol,hyperkalemic
timolol,Severe hyperkalemia
prednisone,Severe hyperkalemia
mono-octanoin,Noncardiogenic pulmonary edema
monooctanoin,noncardiogenic pulmonary edema
cisplatin,Paroxysmal supraventricular tachycardia
etoposide,Paroxysmal supraventricular tachycardia
viloxazine,decrease in theophylline clearance
viloxazine,theophylline intoxication
viloxazine,decrease in clearance
nitrofurantoin,eosinophilic pneumonia
nitrofurantoin,Idiosyncratic pulmonary reactions
amsacrine,Acute myocardial necrosis
amsacrine,cardiotoxicity
amsacrine,myocardial necrosis
amsacrine,acute myocardial infarction
amsacrine,focal myocardial necrosis
phenobarbital,alopecia
phenobarbital,a pruritic desquamating erythrodermic rash
phenobarbital,fever
phenobarbital,hypersensitivity
phenobarbital,icterus
phenobarbital,myositis
phenobarbital,nephritis
phenobarbital,protein-losing enteropathy
phenobarbital,Graft versus host-like illness
phenobarbital,autoimmune cell-mediated hypersensitivity
tolazoline,Duodenal ulceration
Tolazoline,intestinal perforation
Macrodantin,acute and chronic pulmonary reactions
Macrodantin,allergic reactions
Macrodantin,blood dyscrasias
Macrodantin,liver damage
Macrodantin,peripheral neuropathy
trazodone,Generalized pustular psoriasis
Molipaxin,generalized pustular psoriasis
trazodone hydrochloride,generalized pustular psoriasis
Molipaxin,GPP
trazodone hydrochloride,GPP
